termino;clave;pilar;pilar_disenso;sectorial;sectorial_disenso;colocacion;consenso;n_revisores;revisores;estado_vocabulario;cubierto_por;justificacion
ecovadis;ecovadis;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;Total gold status and Nokia supplier sustainability rating
esg;esg;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;explicit label for environmental social and governance matters
esg data;esg data;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;esg;Deutsche Boerse describes growing demand for high-quality ESG data
esg rating;esg rating;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;esg;Nokia and Total report external ESG rating scores
esg reporting;esg reporting;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;esg;Deutsche Boerse and Ahold audit committees oversee ESG disclosure
esg risk;esg risk;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;esg;Ahold risk category covering environmental social governance developments
esg topic;esg topic;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;esg;Ahold ESG statements tag each indicator with an ESG topic
esrs;esr;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;ASML reports under European Sustainability Reporting Standards
external assurance;external assurance;TRANS;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola sustainability report prepared and externally assured
ftse4good;ftse4good;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;Iberdrola and Total cite index membership as ESG recognition
global reporting initiative;global reporting initiative;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;Ahold and Sanofi report against GRI standards
gri standard;gri standard;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;gri;GRI indicator references throughout Ahold and Sanofi disclosures
integrated report;integrated report;TRANS;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola and AXA publish IIRC-based integrated reports
limited assurance;limited assurance;TRANS;;0;0;1;maximo;3;1+2+3;HUECO;;PSA independent third party assurance on non-financial statement
material topic;material topic;TRANS;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold GRI material topics and Ferrari relevant topics
materiality assessment;materiality assessment;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;materiality;bare materiality is an audit term so phrase required
materiality matrix;materiality matrix;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;materiality;Ferrari plots sustainability topics by stakeholder relevance
non-financial information;non financial information;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;non financial;Iberdrola statement of non-financial information PSA non-financial statement
non-financial rating agency;non financial rating agency;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;non financial;Total lists ratings from non-financial rating agencies
non-financial reporting;non financial reporting;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;non financial;Ahold audit committee oversees financial and non-financial reporting processes
oecd guidelines for multinational enterprises;oecd guideline for multinational enterpris;TRANS;;0;0;0;maximo;3;1+2+3;cubierto;oecd guideline;Ahold references framework in shaping sustainable retailing strategy
sasb;sasb;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;Airbus indexes business integrity disclosure to SASB
sfdr;sfdr;TRANS;;0;1;0;maximo;3;1+2+3;en vocabulario;;Deutsche Boerse cites sustainable finance disclosure regulation demand
stakeholder;stakeholder;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;pervasive addressee of ESG disclosure in all seventeen reports
stakeholder engagement;stakeholder engagement;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;stakeholder;Ferrari Enel and ASML describe engaging stakeholders on ESG
sustainability;sustainability;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;umbrella word used by every firm across the three pillars
sustainability due diligence;sustainability due diligence;TRANS;G/TRANS;0;0;1;maximo;3;1+2+3;cubierto;sustainability;Ahold audit committee ESG reporting topic
sustainability-linked bond;sustainability linked bond;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;sustainability;Ahold board approved issuance underscoring healthy and sustainable approach
sustainability report;sustainability report;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;sustainability;Iberdrola and Ferrari publish separate sustainability reporting
sustainability strategy;sustainability strategy;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;sustainability;AXA performance shares tied to sustainability strategy
sustainability target;sustainability target;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;sustainability;Ahold health and sustainability targets monitored by board committee
sustainable development;sustainable development;TRANS;;0;0;0;maximo;3;1+2+3;cubierto;sustainable;Iberdrola plan and Sanofi programme spanning environment society governance
sustainable development goal;sustainable development goal;TRANS;;0;0;1;maximo;3;1+2+3;cubierto;sustainable;SDGs cited by Ahold AB InBev Sanofi Ferrari
un global compact;un global compact;TRANS;;0;0;1;maximo;3;1+2+3;en vocabulario;;Total renewed as LEAD company in the Global Compact
breeam;breeam;E;;0;0;0;alto;2;1+3;HUECO;;green building certification cited by Sanofi and ASML
cage-free egg;cage free egg;E;;1;0;1;alto;2;2+3;HUECO;;indicador propio de huevos de gallinas libres de jaula
carbon emission;carbon emission;E;;0;0;0;alto;2;2+3;cubierto;emission;reduccion de emisiones de carbono en Ahold y AXA
carbon neutral;carbon neutral;E;;0;0;0;alto;2;2+3;cubierto;carbon;flota y operaciones carbon neutral
carbon removal;carbon removal;E;;0;0;1;alto;2;2+3;cubierto;carbon;solo se aceptan offsets de remocion
circularity;circularity;E;;0;0;0;alto;2;2+3;en vocabulario;;informe de circularidad de Iberdrola
climate hazard;climate hazard;E;;0;0;1;alto;2;2+3;cubierto;climate;peligros climaticos evaluados a nivel de emplazamiento
climate-related risk;climate related risk;E;;0;0;1;alto;2;2+3;cubierto;climate;riesgos y oportunidades relacionados con el clima
climate scenario analysis;climate scenario analysis;E;;0;0;1;alto;2;1+3;cubierto;scenario analysis;Sanofi TCFD case studies since bare scenario analysis means pay
coal-fired power plant;coal fired power plant;E;;1;0;1;alto;2;2+3;cubierto;coal;cierre de centrales de carbon en Espana e Italia
corsia;corsia;E;;1;0;0;alto;2;1+2;HUECO;;Airbus cites aviation carbon offsetting sustainability reference
diesel emission;diesel emission;E;;1;0;1;alto;2;1+3;cubierto;emission;Stellantis provision for US criminal emissions investigations
ecodesign;ecodesign;E;;0;0;0;alto;2;1+3;en vocabulario;;Iberdrola and Sanofi build environmental criteria into design
emission reduction target;emission reduction target;E;;0;0;1;alto;2;1+2;cubierto;emission;SBTi validated absolute reduction targets at Sanofi and ASML
environmental indicator;environmental indicator;E;;0;0;1;alto;2;1+2;cubierto;environ\w+;Total monitors indicators to adapt protection measures
environmental product declaration;environmental product declaration;E;;0;0;1;alto;2;1+3;cubierto;environ\w+;Iberdrola develops new EPDs with EDP
extreme weather event;extreme weather event;E;;0;0;1;alto;2;2+3;HUECO;;eventos meteorologicos extremos como riesgo fisico
flaring;flaring;E;;1;0;0;alto;2;1+2;HUECO;;Total stricter policy on acid gas flaring
fossil fuel;fossil fuel;E;;0;0;0;alto;2;2+3;cubierto;fuel;reduccion del uso de combustibles fosiles
ghg emission;ghg emission;E;;0;0;0;alto;2;2+3;cubierto;emission;abreviatura usada por ASML, Nokia, Sanofi
green recovery;green recovery;E;;0;0;1;alto;2;2+3;HUECO;;Green Recovery tras la crisis sanitaria
groundwater contamination;groundwater contamination;E;;0;0;1;alto;2;2+3;HUECO;;evaluacion de contaminacion de aguas subterraneas
installed renewable capacity;installed renewable capacity;E;;1;0;1;alto;2;2+3;cubierto;renewable;capacidad renovable instalada en GW del sector electrico
leed;leed;E;;0;0;0;alto;2;1+3;en vocabulario;;green building certification cited by Sanofi and ASML
natural resource;natural resource;E;;0;0;1;alto;2;1+2;HUECO;;Total and Iberdrola limit use of natural resources
offshore wind;offshore wind;E;;1;0;1;alto;2;2+3;HUECO;;cartera de eolica marina de Iberdrola
ozone layer;ozone layer;E;;0;0;1;alto;2;2+3;HUECO;;sustitucion de equipos con sustancias que danan el ozono
palm oil;palm oil;E;;1;0;1;alto;2;1+3;HUECO;;Total reinforced control of palm oil supplier sustainability
pharmaceutical residue;pharmaceutical residue;E;;1;0;1;alto;2;1+2;HUECO;;Sanofi plans to manage residues in the environment
plastic waste;plastic waste;E;;0;1;1;alto;2;1+3;cubierto;plastic;Total founding member of Alliance to End Plastic Waste
re100;re100;E;;0;0;0;alto;2;2+3;HUECO;;compromiso de electricidad 100% renovable de Sanofi
recycled content;recycled content;E;;0;0;1;alto;2;1+3;cubierto;recycl\w+;ASML aims to use more recycled content in raw materials
sbti;sbti;E;;0;0;0;alto;2;1+2;en vocabulario;;Science Based Targets initiative validates corporate targets
scope 1 emission;scope 1 emission;E;;0;0;1;alto;2;2+3;cubierto;emission;scope solo es ambiguo - emisiones directas
scope 2 emission;scope 2 emission;E;;0;0;1;alto;2;2+3;cubierto;emission;scope solo es ambiguo - emisiones indirectas de energia
scope 3 emission;scope 3 emission;E;;0;0;1;alto;2;2+3;cubierto;emission;scope solo es ambiguo - emisiones de la cadena de valor
voluntary emission reduction certificate;voluntary emission reduction certificate;E;;0;0;1;alto;2;2+3;cubierto;emission;VER para compensar emisiones residuales
waste;waste;E;;0;0;0;alto;2;2+3;en vocabulario;;residuos generados, reciclados y a vertedero
anti-bribery;anti bribery;G;;0;0;0;alto;2;2+3;cubierto;bribery;certificacion ISO 37001 de sistemas antisoborno
board composition;board composition;G;;0;0;1;alto;2;2+3;HUECO;;composicion y perfil del consejo evaluados periodicamente
board independence;board independence;G;;0;0;1;alto;2;1+2;HUECO;;Ahold Ferrari AXA annually confirm independent members
board tenure;board tenure;G;;0;0;1;alto;2;2+3;HUECO;;mandatos y reeleccion de consejeros
bribery;bribery;G;;0;0;0;alto;2;1+2;en vocabulario;;AB InBev FCPA and UK Bribery Act exposure
change of control;change of control;G;;0;0;1;alto;2;2+3;HUECO;;clausulas de cambio de control en Ferrari
compliance programme;compliance program;G;;0;0;1;alto;2;1+2;en vocabulario;;Airbus Ethics and Compliance Iberdrola compliance unit
corporate governance statement;corporate governance statement;G;;0;0;1;alto;2;1+2;cubierto;governance;Ahold requirement under Dutch decree on management reports
corruption;corruption;G;;0;0;0;alto;2;2+3;en vocabulario;;entornos corruptos como riesgo en mercados emergentes
deferred prosecution agreement;deferred prosecution agreement;G;;0;0;1;alto;2;1+3;HUECO;;Airbus closed agreements in US UK and France
ethical culture;ethical culture;G;;0;0;1;alto;2;1+2;cubierto;ethical;Iberdrola Ethisphere certification Airbus culture of integrity
ethics training;ethics training;G;;0;0;1;alto;2;2+3;HUECO;;modulos de formacion en etica e integridad en Sanofi
executive remuneration;executive remuneration;G;;0;0;1;alto;2;1+2;cubierto;remuneration;AXA and Iberdrola senior executive compensation structure
fraud prevention;fraud prevention;G;;0;0;1;alto;2;2+3;cubierto;fraud;politicas de prevencion y deteccion de fraude
governance risk and compliance;governance risk and compliance;G;;0;0;1;alto;2;1+2;cubierto;governance;Ahold GRC framework and global GRC committee
governance structure;governance structure;G;;0;0;1;alto;2;2+3;cubierto;governance;estructura de gobierno descrita por Ahold
it control;it control;G;;0;0;1;alto;2;2+3;HUECO;;controles generales de tecnologia de la informacion
key audit matter;key audit matter;G;;0;0;1;alto;2;1+3;HUECO;;Iberdrola AXA PSA auditor reporting requirement
long-term incentive;long term incentive;G;;0;0;1;alto;2;1+2;HUECO;;ASML AXA Enel share-based long-term plans
performance share;performance share;G;;0;0;1;alto;2;1+2;HUECO;;AXA and Ferrari conditional share awards on performance
remuneration report;remuneration report;G;;0;0;1;alto;2;2+3;cubierto;remuneration;informe de remuneraciones anual
reputation risk;reputation risk;G;;0;0;1;alto;2;1+3;HUECO;;Enel risk catalog and AB InBev business reputation
responsible lobbying;responsible lobbying;G;;0;0;1;alto;2;2+3;cubierto;lobbying;Responsible Lobbying Charter de Airbus
responsible tax;responsible tax;G;;0;0;1;alto;2;1+3;HUECO;;Total adherence to B-Team principles for sustainable taxation
senior independent director;senior independent director;G;;0;0;1;alto;2;1+3;cubierto;independent director;AXA and Stellantis defined role and duties
three lines of defense;three line of defense;G;;0;0;1;alto;2;2+3;HUECO;;modelo de tres lineas de defensa de Ahold
voting right;voting right;G;;0;0;1;alto;2;2+3;HUECO;;derechos de voto y acciones de voto especial
collective labour agreement;collective labor agreement;S;;0;0;1;alto;2;2+3;HUECO;;CLA Metalektro renovado por ASML
corporate human rights benchmark;corporate human right benchmark;S;;0;0;0;alto;2;1+3;cubierto;human right;Total ranking in the extractive sector
disability;disability;S;;0;0;0;alto;2;1+3;en vocabulario;;Total employment agreements and ILO business disability network
employee;employee;S;;0;0;0;alto;2;2+3;HUECO;;plantilla como destinataria de politicas sociales
employee benefit;employee benefit;S;;0;0;1;alto;2;1+2;HUECO;;Sanofi personalised medical vision and dental coverage
employee engagement survey;employee engagement survey;S;;0;0;1;alto;2;2+3;cubierto;employee engagement;associate engagement survey anual de Ahold
employee share ownership;employee share ownership;S;;0;0;1;alto;2;1+2;HUECO;;Airbus and Nokia employee share purchase plans
employee wellness programme;employee wellness program;S;;0;0;1;alto;2;2+3;cubierto;employee\s+well\w*;programa Take Care de Sanofi
food bank;food bank;S;;1;0;1;alto;2;1+2;HUECO;;Ahold works with food banks to feed the undernourished
inclusion;inclusion;S;;0;0;0;alto;2;1+3;en vocabulario;;Ahold ASML Airbus inclusive workplace ambition
inclusive workplace;inclusive workplace;S;;0;0;1;alto;2;2+3;cubierto;inclusive;entorno inclusivo donde todas las voces cuentan
injury rate;injury rate;S;;0;0;1;alto;2;2+3;cubierto;injury;accidentes con baja por numero medio de empleados
nutrition;nutrition;S;;1;0;0;alto;2;1+2;en vocabulario;;Ahold dietitians podcast and healthier product ranges
parental leave;parental leave;S;;0;0;1;alto;2;1+2;HUECO;;Airbus maternity and paternity benefits beyond statutory minimum
product stewardship;product stewardship;S;;1;0;1;alto;2;1+2;HUECO;;Total product steward ensures compliance at market release
remote working;remote working;S;;0;0;1;alto;2;2+3;HUECO;;flexibilidad de trabajo remoto e hibrido
shared value;shared value;S;S/TRANS;0;0;1;alto;2;1+2;HUECO;;Enel creating shared value through project assessment
skills development;skill development;S;;0;0;1;alto;2;2+3;HUECO;;cierre de brechas criticas de competencias en Airbus
social dividend;social dividend;S;;0;0;1;alto;2;1+3;HUECO;;Iberdrola bylaw established contribution to society
supplier sustainability score;supplier sustainability score;S;S/TRANS;0;0;1;alto;2;2+3;cubierto;sustainability;puntuacion de sostenibilidad de proveedores en Nokia
un guiding principles;un guiding principle;S;;0;0;1;alto;2;2+3;HUECO;;principios rectores UNGP citados por ASML
vulnerable group;vulnerable group;S;;0;0;1;alto;2;1+3;HUECO;;Iberdrola COVID programme and AXA vulnerable populations
well-being;well being;S;;0;0;0;alto;2;1+3;HUECO;;Sanofi wellness programme Enel social measure ASML sub-topic
zero accident;zero accident;S;;0;0;1;alto;2;1+2;HUECO;;Iberdrola networks business safety objective
chief sustainability officer;chief sustainability officer;TRANS;G/TRANS;0;0;1;alto;2;1+3;cubierto;sustainability;Ahold creates dedicated CSO role on executive committee
corporate responsibility;corporate responsibility;TRANS;;0;0;0;alto;2;2+3;HUECO;;seccion Corporate Responsibility en AXA y Nokia
corporate sustainability assessment;corporate sustainability assessment;TRANS;;0;0;1;alto;2;1+3;cubierto;sustainability;AXA performance shares linked to S&P Global assessment
esg objective;esg objective;TRANS;;0;0;1;alto;2;2+3;cubierto;esg;los objetivos ESG del plan de Iberdrola
esg target;esg target;TRANS;;0;0;1;alto;2;1+3;cubierto;esg;ASML and Iberdrola set explicit ESG objectives
gri indicator;gri indicator;TRANS;;0;0;1;alto;2;2+3;cubierto;gri;columna de indicador GRI en las tablas ESG
iirc;iirc;TRANS;;0;0;0;alto;2;2+3;HUECO;;recomendaciones del International Integrated Reporting Council
independent third party;independent third party;TRANS;;0;0;1;alto;2;2+3;HUECO;;verificador acreditado del estado no financiero de PSA
non-financial statement;non financial statement;TRANS;;0;0;1;alto;2;2+3;cubierto;non financial;estado no financiero verificado en PSA y Ferrari
sustainability performance;sustainability performance;TRANS;;0;0;1;alto;2;2+3;cubierto;sustainability;performance solo remite a resultados financieros
sustainable value creation;sustainable value creation;TRANS;;0;0;1;alto;2;1+2;cubierto;sustainable;Ahold and Iberdrola long-term value creation language
transparency;transparency;TRANS;G/TRANS;0;0;0;alto;2;1+2;en vocabulario;;recurrent disclosure value at Iberdrola Total Sanofi ASML
afforestation;afforestation;E;;0;0;0;bajo;1;2;HUECO;;proyectos de forestacion en la cartera de offsets
air emission;air emission;E;;0;0;1;bajo;1;1;cubierto;emission;Total chronic emissions into the atmosphere
business travel;business travel;E;;0;0;1;bajo;1;1;HUECO;;ASML and Sanofi emissions category with reduction target
business travel emission;business travel emission;E;;0;0;1;bajo;1;3;cubierto;emission;emisiones de viajes de negocio de la categoria seis
cage free;cage free;E;;1;0;1;bajo;1;1;HUECO;;Ahold own indicator on own-brand shell eggs
carbon literacy;carbon literacy;E;;0;0;1;bajo;1;1;cubierto;carbon;ASML upskills supplier account teams on emissions
clean energy;clean energy;E;;0;0;1;bajo;1;2;en vocabulario;;inversion en energia limpia de Iberdrola
climate impact;climate impact;E;;0;0;1;bajo;1;2;cubierto;climate;reduccion del impacto climatico de Ahold
climate objective;climate objective;E;;0;0;1;bajo;1;2;cubierto;climate;objetivos climaticos y su horizonte temporal
climate-related health impact;climate related health impact;E;;1;0;1;bajo;1;1;cubierto;climate;Sanofi allergies and vector-borne disease from warming
coal-fired plant;coal fired plant;E;;1;0;1;bajo;1;1;cubierto;coal;Iberdrola and Enel decommissioning of coal capacity
direct emission;direct emission;E;;0;0;1;bajo;1;2;cubierto;emission;emisiones directas de la operacion propia
eco-design;eco design;E;;0;0;0;bajo;1;2;HUECO;;ecodiseno de productos e infraestructuras
eligible green project;eligible green project;E;;0;0;1;bajo;1;3;HUECO;;proyectos verdes elegibles segun los Green Bond Principles
emission reduction;emission reduction;E;;0;0;1;bajo;1;3;cubierto;emission;objetivos de reduccion de emisiones validados por SBTi
emissions trading system;emission trading system;E;;0;0;1;bajo;1;2;cubierto;emission;precios historicos del EU ETS como referencia
employee commuting;employee commuting;E;;0;0;1;bajo;1;1;HUECO;;ASML scope 3 category with decarbonisation project
employee commuting emission;employee commuting emission;E;;0;0;1;bajo;1;3;cubierto;emission;emisiones de desplazamientos al trabajo de la categoria siete
energy management system;energy management system;E;;0;0;1;bajo;1;2;cubierto;energy management;sistemas de gestion de la energia certificados
energy use per wafer;energy use per wafer;E;;1;0;1;bajo;1;1;HUECO;;ASML product energy efficiency metric per wafer pass
environmental damage;environmental damage;E;;0;0;1;bajo;1;2;cubierto;environ\w+;provisiones para danos ambientales en Iberdrola
geothermal;geothermal;E;;1;0;0;bajo;1;3;en vocabulario;;fuente geotermica del mix de generacion de Enel
green bond principles;green bond principle;E;;0;0;1;bajo;1;2;cubierto;green bond;principios ICMA para proyectos verdes elegibles
green energy;green energy;E;;0;0;1;bajo;1;2;en vocabulario;;objetivo de aumentar consumo de energia verde
green investment;green investment;E;;0;0;1;bajo;1;3;en vocabulario;;cartera de inversion verde de AXA de 26.000 millones
green project;green project;E;;0;0;1;bajo;1;2;HUECO;;Eligible Green Projects financiados con bonos verdes
groundwater;groundwater;E;;0;0;0;bajo;1;1;HUECO;;Total monitors groundwater after pipeline spill
hard-to-abate emission;hard to abate emission;E;;0;0;1;bajo;1;1;cubierto;emission;ASML steel and aluminium purchasing challenge
hydrocarbon spill;hydrocarbon spill;E;;1;0;1;bajo;1;2;HUECO;;seguimiento de vertidos superiores a un barril
indirect emission;indirect emission;E;;0;0;1;bajo;1;2;cubierto;emission;emisiones indirectas ligadas al consumo energetico
logistics emission;logistic emission;E;;0;0;1;bajo;1;3;cubierto;emission;emisiones de transporte y distribucion aguas arriba
methane emission;methane emission;E;;1;0;1;bajo;1;1;cubierto;emission;Total defends US methane emission regulation
mitigation hierarchy;mitigation hierarchy;E;;0;0;1;bajo;1;2;HUECO;;principios de jerarquia de mitigacion en biodiversidad
ocean freight;ocean freight;E;;0;0;1;bajo;1;1;cubierto;ocean;ASML modal shift from air to reduce logistics emissions
pollutant;pollutant;E;;0;0;0;bajo;1;3;HUECO;;naturaleza y concentracion de contaminantes en suelos
product use emission;product use emission;E;;0;0;1;bajo;1;3;cubierto;emission;emisiones por el uso de los sistemas vendidos a clientes
renewable electricity certificate;renewable electricity certificate;E;;0;0;1;bajo;1;2;cubierto;electricity;programa REC usado por Sanofi
renewable installed capacity;renewable installed capacity;E;;1;0;1;bajo;1;1;cubierto;renewable;Enel and Iberdrola utility capacity metric in GW
renewable source;renewable source;E;;0;0;1;bajo;1;3;cubierto;renewable;fuentes renovables en el mix de generacion
reuse;reuse;E;;0;0;0;bajo;1;3;HUECO;;reutilizacion de piezas embalajes y materiales
scenario analysis;scenario analysis;E;;0;0;1;bajo;1;2;en vocabulario;;analisis de escenarios climaticos de Sanofi
Science Based Targets initiative;science based target initiative;E;;0;0;0;bajo;1;3;cubierto;science based target;validacion cientifica de los objetivos de emisiones
scope 1;scope 1;E;;0;0;1;bajo;1;1;cubierto;scope\s*[123]\b;direct emissions category at Sanofi ASML Nokia
scope 2;scope 2;E;;0;0;1;bajo;1;1;cubierto;scope\s*[123]\b;indirect energy emissions category with market-based reporting
scope 3;scope 3;E;;0;0;1;bajo;1;1;cubierto;scope\s*[123]\b;value chain emissions Ahold board deep dive ASML targets
sustainable event;sustainable event;E;;0;0;1;bajo;1;1;cubierto;sustainable;Iberdrola ISO 20121 certified general shareholders meeting
value chain emission;value chain emission;E;;0;0;1;bajo;1;2;cubierto;emission;value chain solo se usa tambien en sentido comercial
waste heat;waste heat;E;;0;0;1;bajo;1;1;cubierto;waste;ASML reuses factory waste heat through energy grid
waste-to-energy;waste to energy;E;;0;0;0;bajo;1;2;cubierto;waste;valorizacion energetica de residuos en Sanofi
water management;water management;E;;0;0;1;bajo;1;2;cubierto;water;planes de gestion del agua por emplazamiento
water management plan;water management plan;E;;0;0;1;bajo;1;3;cubierto;water;planes de gestion del agua en emplazamientos prioritarios
accountability;accountability;G;;0;0;0;bajo;1;2;HUECO;;rendicion de cuentas de la direccion sobre la estrategia
alert system;alert system;G;;0;0;1;bajo;1;2;HUECO;;sistema de alerta sobre incumplimientos en Airbus
annual corporate governance report;annual corporate governance report;G;;0;0;1;bajo;1;1;cubierto;governance;Iberdrola report in CNMV prescribed format
anti-bribery management system;anti bribery management system;G;;0;0;1;bajo;1;1;cubierto;bribery;Iberdrola ISO 37001 certification renewed
board diversity policy;board diversity policy;G;;0;0;1;bajo;1;3;cubierto;diversity;politica de diversidad del consejo en Ferrari e Iberdrola
board sustainability expertise;board sustainability expertise;G;;0;0;1;bajo;1;3;cubierto;sustainability;matriz de cualificacion con experiencia en sostenibilidad
competition law;competition law;G;;0;0;1;bajo;1;2;HUECO;;cumplimiento de la normativa de competencia
compliance system;compliance system;G;;0;0;1;bajo;1;3;HUECO;;sistema de cumplimiento certificado UNE 19601 en Iberdrola
controlling shareholder;controlling shareholder;G;;0;0;1;bajo;1;3;HUECO;;accionista de control del Estado italiano en Enel
corporate culture;corporate culture;G;;0;0;1;bajo;1;3;HUECO;;cultura corporativa y etica como categoria de riesgo de Enel
coso framework;coso framework;G;;0;0;1;bajo;1;1;HUECO;;Ahold and ASML basis for internal control assessment
director independence;director independence;G;;0;0;1;bajo;1;3;HUECO;;independencia de los consejeros segun la provision 2.1.8
diversity policy;diversity policy;G;;0;0;1;bajo;1;2;cubierto;diversity;politica de diversidad exigida por el codigo holandes
economic sanction;economic sanction;G;;0;0;1;bajo;1;3;cubierto;sanction;sanciones economicas y comerciales como riesgo reputacional
esg performance measure;esg performance measure;G;;0;0;1;bajo;1;1;cubierto;esg;ASML long-term incentive weights ESG measures at 20 percent
esg-related control;esg related control;G;;0;0;1;bajo;1;1;cubierto;esg;Ahold auditor observations on IT and ESG controls
ethical principle;ethical principle;G;;0;0;1;bajo;1;3;cubierto;ethical;principios eticos que fundamentan el marco GRC
ethics and compliance;ethics and compliance;G;;0;0;1;bajo;1;2;en vocabulario;;programa Ethics & Compliance de Airbus
Ethisphere;ethisphere;G;;0;0;0;bajo;1;3;HUECO;;reconocimiento como una de las empresas mas eticas del mundo
executive compensation;executive compensation;G;;0;0;1;bajo;1;3;en vocabulario;;compensacion de la direccion ejecutiva revisada por el comite
fixed remuneration;fixed remuneration;G;;0;0;1;bajo;1;3;cubierto;remuneration;retribucion fija y prima de asistencia de los consejeros
global minimum tax;global minimum tax;G;;0;0;1;bajo;1;3;HUECO;;tipo minimo global del pilar II de la OCDE
governance body;governance body;G;;0;0;1;bajo;1;3;cubierto;governance;organos de gobierno y su diversidad segun GRI 405-1
governance risk and compliance framework;governance risk and compliance framework;G;;0;0;1;bajo;1;3;cubierto;governance;marco GRC con comite global presidido por el CLO
incident response;incident response;G;;0;0;1;bajo;1;3;HUECO;;tendencias incidentes y respuesta discutidos por el comite
litigation;litigation;G;;0;0;0;bajo;1;3;HUECO;;litigios reportados periodicamente al comite de auditoria
long-term incentive plan;long term incentive plan;G;;0;0;1;bajo;1;3;HUECO;;plan de incentivos a largo plazo ligado a metricas ESG
loyalty voting structure;loyalty voting structure;G;;0;0;1;bajo;1;3;HUECO;;estructura de voto de lealtad en Ferrari y Stellantis
non-audit service;non audit service;G;;0;0;1;bajo;1;3;HUECO;;prohibicion y aprobacion de servicios distintos de la auditoria
personal data;personal data;G;;0;0;1;bajo;1;2;HUECO;;confidencialidad de los datos personales de empleados
qualification matrix;qualification matrix;G;;0;0;1;bajo;1;1;HUECO;;Deutsche Boerse shows sustainability competence of board members
reputational risk;reputational risk;G;;0;0;1;bajo;1;2;HUECO;;riesgo reputacional en el catalogo de riesgos de Enel
risk committee;risk committee;G;;0;0;1;bajo;1;2;HUECO;;comite de auditoria, finanzas y riesgos
speak-up;speak up;G;;0;0;0;bajo;1;2;en vocabulario;;cultura de speak up y Speak Up line de Ahold
speak-up culture;speak up culture;G;;0;0;1;bajo;1;3;cubierto;speak up;linea Speak Up y cultura de hablar sin temor
speak-up line;speak up line;G;;0;0;1;bajo;1;1;cubierto;speak up;Ahold channel for associates to raise concerns
special voting share;special voting share;G;;0;0;1;bajo;1;3;HUECO;;acciones de voto especial del registro de lealtad de Ferrari
sustainable taxation;sustainable taxation;G;;0;0;1;bajo;1;2;cubierto;sustainable;principios B-Team de fiscalidad sostenible en Total
takeover;takeover;G;;0;0;0;bajo;1;2;HUECO;;disclosures exigidos por la directiva de OPAs
tax policy;tax policy;G;;0;0;1;bajo;1;2;en vocabulario;;politica de planificacion fiscal supervisada por auditoria
three lines of defence;three line of defence;G;;0;0;1;bajo;1;1;HUECO;;Ahold and Iberdrola control and assurance model
trade sanction;trade sanction;G;;0;0;1;bajo;1;1;cubierto;sanction;AB InBev exposure from operations in Cuba
whistle-blowing hotline;whistle blowing hotline;G;;0;0;1;bajo;1;3;HUECO;;canal de denuncias con cifras de uso en Sanofi
whistleblowing;whistleblowing;G;;0;0;0;bajo;1;1;en vocabulario;;Sanofi hotline and Airbus alert system
whistleblowing hotline;whistleblowing hotline;G;;0;0;1;bajo;1;2;cubierto;whistleblowing;linea de denuncias de Sanofi
access to land;access to land;S;;1;0;1;bajo;1;3;HUECO;;acceso a la tierra de las comunidades locales como asunto saliente
anti-discrimination policy;anti discrimination policy;S;;0;0;1;bajo;1;2;cubierto;discrimination;politica antidiscriminacion del grupo PSA
collective bargaining;collective bargaining;S;;0;0;0;bajo;1;3;en vocabulario;;negociacion colectiva y cobertura de los convenios
consumer health;consumer health;S;;0;0;1;bajo;1;1;HUECO;;Total limits health and safety risks for consumers
consumer health and safety;consumer health and safety;S;;0;0;1;bajo;1;2;cubierto;health and safety;limitar riesgos para la salud del consumidor en Total
consumer safety;consumer safety;S;;0;0;1;bajo;1;3;HUECO;;limitacion de riesgos para la salud y seguridad de los consumidores
