termino;clave;r1_detecciones;r2_aprobaciones;consenso_r1;consenso_r2;estable;pilar_r1;pilar_r2;pilar_coincide;pilar_disenso_r2;sectorial_r2;colocacion_r2;estado_vocabulario;cubierto_por
remuneration report;remuneration report;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;remuneration
responsible lobbying;responsible lobbying;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;lobbying
responsible tax;responsible tax;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
senior independent director;senior independent director;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;independent director
three lines of defense;three line of defense;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
voting right;voting right;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
collective labour agreement;collective labor agreement;2;3;alto;máximo;0;S;S;1;;0;0;HUECO;
corporate human rights benchmark;corporate human right benchmark;2;3;alto;máximo;0;S;S;1;;0;0;cubierto;human right
disability;disability;2;3;alto;máximo;0;S;S;1;;0;1;en vocabulario;
employee engagement survey;employee engagement survey;2;3;alto;máximo;0;S;S;1;;0;0;cubierto;employee engagement
employee share ownership;employee share ownership;2;3;alto;máximo;0;S;S;1;;0;0;HUECO;
employee wellness programme;employee wellness program;2;3;alto;máximo;0;S;S;1;;0;0;cubierto;employee\s+well\w*
food bank;food bank;2;3;alto;máximo;0;S;S;1;;1;0;HUECO;
inclusion;inclusion;2;3;alto;máximo;0;S;S;1;;0;1;en vocabulario;
inclusive workplace;inclusive workplace;2;3;alto;máximo;0;S;S;1;;0;0;cubierto;inclusive
injury rate;injury rate;2;3;alto;máximo;0;S;S;1;;0;0;cubierto;injury
nutrition;nutrition;2;3;alto;máximo;0;S;S;1;;1;0;en vocabulario;
parental leave;parental leave;2;3;alto;máximo;0;S;S;1;;0;0;HUECO;
skills development;skill development;2;3;alto;máximo;0;S;S;1;;0;0;HUECO;
supplier sustainability score;supplier sustainability score;2;3;alto;máximo;0;S;S;1;;0;0;cubierto;sustainability
un guiding principles;un guiding principle;2;3;alto;máximo;0;S;S;1;;0;0;HUECO;
vulnerable group;vulnerable group;2;3;alto;máximo;0;S;S;1;;0;0;HUECO;
well-being;well being;2;3;alto;máximo;0;S;S;1;;0;1;HUECO;
zero accident;zero accident;2;3;alto;máximo;0;S;S;1;;0;0;HUECO;
corporate responsibility;corporate responsibility;2;3;alto;máximo;0;TRANS;TRANS;1;;0;0;HUECO;
corporate sustainability assessment;corporate sustainability assessment;2;3;alto;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainability
esg objective;esg objective;2;3;alto;máximo;0;TRANS;TRANS;1;;0;0;cubierto;esg
esg target;esg target;2;3;alto;máximo;0;TRANS;TRANS;1;;0;0;cubierto;esg
gri indicator;gri indicator;2;3;alto;máximo;0;TRANS;TRANS;1;;0;0;cubierto;gri
iirc;iirc;2;3;alto;máximo;0;TRANS;TRANS;1;;0;0;HUECO;
non-financial statement;non financial statement;2;3;alto;máximo;0;TRANS;TRANS;1;;0;0;cubierto;non financial
sustainability performance;sustainability performance;2;3;alto;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainability
afforestation;afforestation;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
air emission;air emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
business travel emission;business travel emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
cage free;cage free;1;3;bajo;máximo;0;E;E;1;E/S;1;0;HUECO;
carbon literacy;carbon literacy;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;carbon
clean energy;clean energy;1;3;bajo;máximo;0;E;E;1;;0;0;en vocabulario;
climate impact;climate impact;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;climate
climate objective;climate objective;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;climate
climate-related health impact;climate related health impact;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;climate
coal-fired plant;coal fired plant;1;3;bajo;máximo;0;E;E;1;;1;0;cubierto;coal
direct emission;direct emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
eco-design;eco design;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
eligible green project;eligible green project;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
emission reduction;emission reduction;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
emissions trading system;emission trading system;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
employee commuting;employee commuting;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
employee commuting emission;employee commuting emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
energy management system;energy management system;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;energy management
environmental damage;environmental damage;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;environ\w+
geothermal;geothermal;1;3;bajo;máximo;0;E;E;1;;1;0;en vocabulario;
green bond principles;green bond principle;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;green bond
green energy;green energy;1;3;bajo;máximo;0;E;E;1;;0;0;en vocabulario;
green investment;green investment;1;3;bajo;máximo;0;E;E;1;;0;0;en vocabulario;
green project;green project;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
groundwater;groundwater;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
hard-to-abate emission;hard to abate emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
hydrocarbon spill;hydrocarbon spill;1;3;bajo;máximo;0;E;E;1;;1;0;HUECO;
indirect emission;indirect emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
logistics emission;logistic emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
methane emission;methane emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
mitigation hierarchy;mitigation hierarchy;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
pollutant;pollutant;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
product use emission;product use emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
reach registration;reach registration;1;3;bajo;máximo;0;S;E;0;;1;0;HUECO;
renewable electricity certificate;renewable electricity certificate;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;electricity
renewable installed capacity;renewable installed capacity;1;3;bajo;máximo;0;E;E;1;;1;0;cubierto;renewable
renewable source;renewable source;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;renewable
reuse;reuse;1;3;bajo;máximo;0;E;E;1;;0;0;HUECO;
Science Based Targets initiative;science based target initiative;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;science based target
scope 1;scope 1;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;scope\s*[123]\b
scope 2;scope 2;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;scope\s*[123]\b
scope 3;scope 3;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;scope\s*[123]\b
value chain emission;value chain emission;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;emission
waste heat;waste heat;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;waste
waste-to-energy;waste to energy;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;waste
water management;water management;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;water
water management plan;water management plan;1;3;bajo;máximo;0;E;E;1;;0;0;cubierto;water
annual corporate governance report;annual corporate governance report;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;governance
anti-bribery management system;anti bribery management system;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;bribery
board diversity policy;board diversity policy;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;diversity
board sustainability expertise;board sustainability expertise;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;sustainability
competition law;competition law;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
compliance system;compliance system;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
controlling shareholder;controlling shareholder;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
coso framework;coso framework;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
director independence;director independence;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
economic sanction;economic sanction;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;sanction
ethical principle;ethical principle;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;ethical
ethics and compliance;ethics and compliance;1;3;bajo;máximo;0;G;G;1;;0;0;en vocabulario;
Ethisphere;ethisphere;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
executive compensation;executive compensation;1;3;bajo;máximo;0;G;G;1;;0;0;en vocabulario;
fixed remuneration;fixed remuneration;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;remuneration
governance body;governance body;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;governance
governance risk and compliance framework;governance risk and compliance framework;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;governance
long-term incentive plan;long term incentive plan;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
loyalty voting structure;loyalty voting structure;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
non-audit service;non audit service;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
qualification matrix;qualification matrix;1;3;bajo;máximo;0;G;G;1;;0;1;HUECO;
risk committee;risk committee;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
speak-up;speak up;1;3;bajo;máximo;0;G;G;1;;0;1;en vocabulario;
speak-up culture;speak up culture;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;speak up
speak-up line;speak up line;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;speak up
special voting share;special voting share;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
sustainable taxation;sustainable taxation;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;sustainable
tax policy;tax policy;1;3;bajo;máximo;0;G;G;1;;0;1;en vocabulario;
three lines of defence;three line of defence;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
trade sanction;trade sanction;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;sanction
whistle-blowing hotline;whistle blowing hotline;1;3;bajo;máximo;0;G;G;1;;0;0;HUECO;
whistleblowing;whistleblowing;1;3;bajo;máximo;0;G;G;1;;0;0;en vocabulario;
whistleblowing hotline;whistleblowing hotline;1;3;bajo;máximo;0;G;G;1;;0;0;cubierto;whistleblowing
worlds most ethical companies;world most ethical company;1;3;bajo;máximo;0;TRANS;G;0;;0;0;cubierto;ethical
access to land;access to land;1;3;bajo;máximo;0;S;S;1;;1;0;HUECO;
anti-discrimination policy;anti discrimination policy;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;discrimination
collective bargaining;collective bargaining;1;3;bajo;máximo;0;S;S;1;;0;0;en vocabulario;
consumer health;consumer health;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
consumer health and safety;consumer health and safety;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;health and safety
consumer safety;consumer safety;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
customer health and nutrition;customer health and nutrition;1;3;bajo;máximo;0;S;S;1;;1;0;cubierto;nutrition
disability employment;disability employment;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;disability
diversity and inclusion;diversity and inclusion;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;diversity
diversity policy;diversity policy;1;3;bajo;máximo;0;G;S;0;;0;0;cubierto;diversity
employee representative;employee representative;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
employee share ownership plan;employee share ownership plan;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
employee well-being;employee well being;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;employee\s+well\w*
employee wellness;employee wellness;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;employee\s+well\w*
health and safety;health and safety;1;3;bajo;máximo;0;S;S;1;;0;0;en vocabulario;
hse;hse;1;3;bajo;máximo;0;TRANS;S;0;S/TRANS;0;0;HUECO;
human capital;human capital;1;3;bajo;máximo;0;S;S;1;;0;0;en vocabulario;
low-alcohol beer;low alcohol beer;1;3;bajo;máximo;0;S;S;1;;1;0;HUECO;
material safety data sheet;material safety data sheet;1;3;bajo;máximo;0;S;S;1;;1;0;HUECO;
maternity and paternity leave;maternity and paternity leave;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;maternity
personal data;personal data;1;3;bajo;máximo;0;G;S;0;;0;0;HUECO;
pharmacovigilance;pharmacovigilance;1;3;bajo;máximo;0;S;S;1;;1;0;HUECO;
private security provider;private security provider;1;3;bajo;máximo;0;S;S;1;;1;0;HUECO;
product recall;product recall;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
product responsibility;product responsibility;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
product traceability;product traceability;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
rba code of conduct;rba code of conduct;1;3;bajo;máximo;0;S;S;1;;1;0;cubierto;code of conduct
responsible supply chain management;responsible supply chain management;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;supply chain management
safety at work;safety at work;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
safety data sheet;safety data sheet;1;3;bajo;máximo;0;S;S;1;;1;0;HUECO;
supplier assessment;supplier assessment;1;3;bajo;máximo;0;S;S;1;;0;1;en vocabulario;
supplier audit;supplier audit;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
supplier sustainability assessment;supplier sustainability assessment;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;sustainability
supply chain human rights;supply chain human right;1;3;bajo;máximo;0;S;S;1;;0;0;en vocabulario;
supply chain responsibility;supply chain responsibility;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
traceability;traceability;1;3;bajo;máximo;0;S;S;1;;0;1;HUECO;
un guiding principles on business and human rights;un guiding principle on business and human right;1;3;bajo;máximo;0;S;S;1;;0;0;cubierto;human right
vehicle recall;vehicle recall;1;3;bajo;máximo;0;S;S;1;;1;0;HUECO;
vehicle safety;vehicle safety;1;3;bajo;máximo;0;S;S;1;;1;0;HUECO;
vulnerable population;vulnerable population;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
women in management;woman in management;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
women in management position;woman in management position;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
working hours;working hour;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
workplace safety;workplace safety;1;3;bajo;máximo;0;S;S;1;;0;0;HUECO;
csr policy;csr policy;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;csr
esg factor;esg factor;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;esg
esg performance measure;esg performance measure;1;3;bajo;máximo;0;G;TRANS;0;;0;0;cubierto;esg
esg score;esg score;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;esg
iss esg;iss esg;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;esg
materiality;materiality;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;1;en vocabulario;
msci esg rating;msci esg rating;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;msci esg
non-financial performance;non financial performance;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;non financial
s&p global corporate sustainability assessment;s p global corporate sustainability assessment;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainability
socially responsible investor;socially responsible investor;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;HUECO;
stakeholder dialogue;stakeholder dialogue;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;stakeholder
stakeholder expectation;stakeholder expectation;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;stakeholder
sustainability index;sustainability index;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainability policy;sustainability policy;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainability reporting;sustainability reporting;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainability statements;sustainability statement;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainable finance;sustainable finance;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainable
sustainable financing;sustainable financing;1;3;bajo;máximo;0;TRANS;TRANS;1;;0;0;cubierto;sustainable
ecosystem;ecosystem;3;2;máximo;alto;0;E;E;1;;0;1;en vocabulario;
articles of association;article of association;3;2;máximo;alto;0;G;G;1;;0;0;HUECO;
regulatory compliance;regulatory compliance;3;2;máximo;alto;0;G;G;1;;0;0;en vocabulario;
societal impact;societal impact;3;2;máximo;alto;0;S;S;1;;0;0;HUECO;
workforce;workforce;3;2;máximo;alto;0;S;S;1;;0;0;HUECO;
stakeholder;stakeholder;3;2;máximo;alto;0;TRANS;TRANS;1;;0;0;en vocabulario;
green recovery;green recovery;2;2;alto;alto;1;E;E;1;;0;0;HUECO;
performance share;performance share;2;2;alto;alto;1;G;G;1;;0;1;HUECO;
shared value;shared value;2;2;alto;alto;1;S;TRANS;0;;0;1;HUECO;
business travel;business travel;1;2;bajo;alto;0;E;E;1;;0;1;HUECO;
corporate culture;corporate culture;1;2;bajo;alto;0;G;G;1;;0;0;HUECO;
esg-related control;esg related control;1;2;bajo;alto;0;G;G;1;;0;0;cubierto;esg
esg agenda;esg agenda;1;2;bajo;alto;0;TRANS;TRANS;1;;0;0;cubierto;esg
esg ambition;esg ambition;1;2;bajo;alto;0;TRANS;TRANS;1;;0;0;cubierto;esg
sustainability ambition;sustainability ambition;1;2;bajo;alto;0;TRANS;TRANS;1;;0;0;cubierto;sustainability
risk appetite;risk appetite;3;1;máximo;bajo;0;G;G;1;;0;0;en vocabulario;
risk management;risk management;3;1;máximo;bajo;0;G;G;1;;0;1;en vocabulario;
clinical trial;clinical trial;3;1;máximo;bajo;0;S;S;1;;1;0;HUECO;
social commitment;social commitment;3;1;máximo;bajo;0;S;S;1;;0;0;en vocabulario;
remote working;remote working;2;1;alto;bajo;0;S;S;1;;0;0;HUECO;
transparency;transparency;2;1;alto;bajo;0;TRANS;TRANS;1;;0;1;en vocabulario;
alert system;alert system;1;1;bajo;bajo;1;G;G;1;;0;1;HUECO;
supply chain responsible management;supply chain responsible management;1;1;bajo;bajo;1;TRANS;S;0;;0;0;HUECO;
business continuity;business continuity;3;0;máximo;nulo;0;G;;0;;0;0;HUECO;
crisis management;crisis management;3;0;máximo;nulo;0;G;;0;;0;0;HUECO;
customer satisfaction;customer satisfaction;3;0;máximo;nulo;0;S;;0;;0;0;en vocabulario;
internal control over financial reporting;internal control over financial reporting;3;0;máximo;nulo;0;G;;0;;0;0;cubierto;internal control
product quality;product quality;3;0;máximo;nulo;0;S;;0;;0;0;en vocabulario;
change of control;change of control;2;0;alto;nulo;0;G;;0;;0;0;HUECO;
employee;employee;2;0;alto;nulo;0;S;;0;;0;0;HUECO;
employee benefit;employee benefit;2;0;alto;nulo;0;S;;0;;0;0;HUECO;
independent third party;independent third party;2;0;alto;nulo;0;TRANS;;0;;0;0;HUECO;
it control;it control;2;0;alto;nulo;0;G;;0;;0;0;HUECO;
key audit matter;key audit matter;2;0;alto;nulo;0;G;;0;;0;0;HUECO;
reputation risk;reputation risk;2;0;alto;nulo;0;G;;0;;0;0;HUECO;
social dividend;social dividend;2;0;alto;nulo;0;S;;0;;0;0;HUECO;
sustainable value creation;sustainable value creation;2;0;alto;nulo;0;TRANS;;0;;0;0;cubierto;sustainable
accountability;accountability;1;0;bajo;nulo;0;G;;0;;0;0;HUECO;
csr reporting scope;csr reporting scope;1;0;bajo;nulo;0;TRANS;;0;;0;0;cubierto;csr
energy use per wafer;energy use per wafer;1;0;bajo;nulo;0;E;;0;;0;0;HUECO;
esg+f;esg f;1;0;bajo;nulo;0;TRANS;;0;;0;0;cubierto;esg
global minimum tax;global minimum tax;1;0;bajo;nulo;0;G;;0;;0;0;HUECO;
Good Manufacturing Practice;good manufacturing practice;1;0;bajo;nulo;0;S;;0;;0;0;HUECO;
healthy sales;healthy sale;1;0;bajo;nulo;0;S;;0;;0;0;HUECO;
incident response;incident response;1;0;bajo;nulo;0;G;;0;;0;0;HUECO;
litigation;litigation;1;0;bajo;nulo;0;G;;0;;0;0;HUECO;
ocean freight;ocean freight;1;0;bajo;nulo;0;E;;0;;0;0;cubierto;ocean
quality management system;quality management system;1;0;bajo;nulo;0;S;;0;;0;0;HUECO;
quality of supply;quality of supply;1;0;bajo;nulo;0;S;;0;;0;0;HUECO;
reputational risk;reputational risk;1;0;bajo;nulo;0;G;;0;;0;0;HUECO;
scenario analysis;scenario analysis;1;0;bajo;nulo;0;E;;0;;0;0;en vocabulario;
sustainable event;sustainable event;1;0;bajo;nulo;0;E;;0;;0;0;cubierto;sustainable
sustainable growth;sustainable growth;1;0;bajo;nulo;0;TRANS;;0;;0;0;cubierto;sustainable
sustainable long-term value creation;sustainable long term value creation;1;0;bajo;nulo;0;TRANS;;0;;0;0;cubierto;sustainable
sustainable retailing;sustainable retailing;1;0;bajo;nulo;0;TRANS;;0;;0;0;cubierto;sustainable
takeover;takeover;1;0;bajo;nulo;0;G;;0;;0;0;HUECO;
