termino;tipo;pilar;sectorial;ocurrencias;documentos;empresas;n_muestra;aciertos;precision;ic95_inf;ic95_sup;disparos_falsos_estimados;fp_indice;fp_financiero;fp_generico;fp_otro;decision_propuesta;notas_auditor
training and development;termino;S;0;315;162;40;6;4;0.667;0.3;0.903;105;1;0;1;0;revisar;I+D de componentes no formacion | encabezado entre tablas
wind turbine;termino;E;0;157;79;24;6;2;0.333;0.097;0.7;105;0;0;4;0;revisar;demanda de semiconductores para turbinas | contrato de construccion y volumen de negocio | proyecto de I+D de mantenimiento | ampliacion de capital de cliente
wind energy;termino;E;0;153;72;25;6;2;0.333;0.097;0.7;102;1;0;1;2;revisar;nombre de filial en listado societario | nombre de unidad de negocio | ingresos por generacion | glosario
ftse4good;termino;TRANS;0;296;141;32;6;4;0.667;0.3;0.903;99;0;0;2;0;revisar;lista de indices bursatiles de la accion
nox;termino;E;0;527;145;27;6;5;0.833;0.436;0.97;88;1;0;0;0;mantener;tabla GRI
social audit;termino;S;0;481;61;15;6;5;0.833;0.436;0.97;80;1;0;0;0;mantener;tabla de correspondencia
data security;termino;G;0;472;169;40;6;5;0.833;0.436;0.97;79;0;1;0;0;mantener;litigios
affordability;termino;S;0;238;88;27;6;4;0.667;0.3;0.903;79;0;0;2;0;revisar;politica comercial de precios y rebates | ventaja competitiva de precio
wind power;termino;E;0;464;97;31;6;5;0.833;0.436;0.97;77;0;0;0;1;mantener;nombre de filial en listado societario
air quality;termino;E;0;449;142;31;6;5;0.833;0.436;0.97;75;0;0;1;0;mantener;condiciones de sala limpia
tax transparency;termino;G;0;224;83;21;6;4;0.667;0.3;0.903;75;2;0;0;0;revisar;referencia cruzada a informe | cabecera de pagina continued
effluent;termino;E;0;442;103;28;6;5;0.833;0.436;0.97;74;1;0;0;0;mantener;nombre de estandar GRI 303
compliance programme;termino;G;0;430;85;19;6;5;0.833;0.436;0.97;72;0;1;0;0;mantener;cumplimiento de retenciones FATCA
insider trading;termino;G;0;429;162;34;6;5;0.833;0.436;0.97;71;1;0;0;0;mantener;encabezado mezclado con indice
tax avoidance;termino;G;0;107;61;21;6;2;0.333;0.097;0.7;71;1;2;0;1;revisar;normativa fiscal de regimenes privilegiados | factor de riesgo fiscal propio | informe del verificador boilerplate | descripcion de contenido y referencia cruzada
talent development;termino;S;0;400;170;42;6;5;0.833;0.436;0.97;67;0;0;0;1;mantener;responsabilidades de consejero tipo biografia
lca;termino;E;0;399;82;28;6;5;0.833;0.436;0.97;66;0;1;0;0;mantener;letras de credito agroindustrial Brasil
compliance training;termino;G;0;396;122;31;6;5;0.833;0.436;0.97;66;1;0;0;0;mantener;encabezado de seccion
supplier assessment;termino;G;0;192;91;26;6;4;0.667;0.3;0.903;64;2;0;0;0;revisar;tabla de indicadores | encabezado de seccion
social standard;termino;S;0;361;75;24;6;5;0.833;0.436;0.97;60;1;0;0;0;mantener;referencia a estandares ESRS sociales
tax strategy;termino;G;0;354;108;30;6;5;0.833;0.436;0.97;59;0;0;1;0;mantener;agenda del consejo estrategia financiera
say on pay;termino;G;0;331;87;21;6;5;0.833;0.436;0.97;55;1;0;0;0;mantener;cabecera de tabla y pie de pagina
reforestation;termino;E;0;309;121;35;6;5;0.833;0.436;0.97;51;1;0;0;0;mantener;texto de meta ODS en tabla
minimum wage;termino;S;0;307;106;36;6;5;0.833;0.436;0.97;51;1;0;0;0;mantener;indice GRI 202-1
social commitment;termino;S;0;305;126;30;6;5;0.833;0.436;0.97;51;1;0;0;0;mantener;listado de enlaces web
social norm;termino;S;0;99;28;9;6;3;0.5;0.188;0.812;50;1;0;2;0;revisar;riesgo conductual interno | encabezado de infografia
responsible marketing;termino;S;0;292;59;18;6;5;0.833;0.436;0.97;49;1;0;0;0;mantener;referencia cruzada y tabla correspondencia
human trafficking;termino;S;0;289;97;41;6;5;0.833;0.436;0.97;48;1;0;0;0;mantener;tabla de correspondencia
iso 50001;termino;E;0;277;116;27;6;5;0.833;0.436;0.97;46;0;0;0;1;mantener;certificaciones del papel impreso
msci esg;termino;TRANS;0;135;86;28;6;4;0.667;0.3;0.903;45;1;0;0;1;revisar;nota al pie de fuentes | disclaimer legal de MSCI
political contribution;termino;G;0;90;53;17;6;3;0.5;0.188;0.812;45;3;0;0;0;revisar;etiqueta GRI 415-1 | encabezado de seccion
tnfd;termino;TRANS;0;243;60;27;6;5;0.833;0.436;0.97;40;1;0;0;0;mantener;tabla de contenidos ESRS
social partner;termino;S;0;241;76;24;6;5;0.833;0.436;0.97;40;0;1;0;0;mantener;nota de litigios
social compliance;termino;S;0;222;37;10;6;5;0.833;0.436;0.97;37;1;0;0;0;mantener;referencia cruzada a capitulo
fair competition;termino;G;0;219;114;33;6;5;0.833;0.436;0.97;36;0;0;1;0;mantener;regulacion de mercados MiFID
proxy statement;termino;G;0;25;17;5;6;0;0.0;0.0;0.39;25;0;0;1;5;retirar;texto legal NYSE repetido | fuentes de datos de producto de rating
data breach;termino;G;0;139;69;24;6;5;0.833;0.436;0.97;23;1;0;0;0;mantener;glosario
smeta;termino;S;1;139;34;7;6;5;0.833;0.436;0.97;23;1;0;0;0;mantener;tabla de correspondencia de KPIs
green investment;termino;E;0;131;33;12;6;5;0.833;0.436;0.97;22;0;0;0;1;mantener;nombre de filial en listado societario
b corp;termino;G;1;67;12;3;6;4;0.667;0.3;0.903;22;0;0;0;2;revisar;certificacion de la agencia de rating
microplastic;termino;E;0;129;39;19;6;5;0.833;0.436;0.97;21;1;0;0;0;mantener;tabla ESRS no publicado
fatality;termino;S;0;124;58;19;6;5;0.833;0.436;0.97;21;1;0;0;0;mantener;indice SASB
labor practices;termino;S;0;115;52;17;6;5;0.833;0.436;0.97;19;0;1;0;0;mantener;cargo juridico unfair labor practices NLRB
racism;termino;S;0;115;51;18;6;5;0.833;0.436;0.97;19;0;0;0;1;mantener;exposicion cientifica sobre la piel
supply chain risk;termino;G;0;112;75;26;6;5;0.833;0.436;0.97;19;0;0;1;0;mantener;continuidad operativa y referencia a factor de riesgo
fair trade;termino;S;0;112;47;14;6;5;0.833;0.436;0.97;19;0;0;0;1;mantener;Korea Fair Trade Commission antimonopolio
sedex;termino;S;1;108;21;6;6;5;0.833;0.436;0.97;18;0;1;0;0;mantener;mercado bursatil italiano SeDeX
raw material consumption;termino;E;0;32;26;12;6;3;0.5;0.188;0.812;16;2;0;1;0;revisar;tabla de correspondencia NFPS | tendencias de mercado de digitalizacion
supply chain worker;termino;S;0;84;19;11;6;5;0.833;0.436;0.97;14;1;0;0;0;mantener;referencia cruzada a seccion
issb;termino;TRANS;0;83;29;15;6;5;0.833;0.436;0.97;14;1;0;0;0;mantener;fila de tabla de correspondencia
customer privacy;termino;S;0;80;38;14;6;5;0.833;0.436;0.97;13;1;0;0;0;mantener;indice GRI
microfiber;termino;E;1;77;14;4;6;5;0.833;0.436;0.97;13;0;0;1;0;mantener;material textil de tapiceria no contaminacion
community relations;termino;S;1;40;17;7;6;4;0.667;0.3;0.903;13;2;0;0;0;revisar;encabezado de tabla SASB
compliance and ethics;termino;G;0;68;51;14;6;5;0.833;0.436;0.97;11;0;0;1;0;mantener;politica de credito formula generica
better cotton;termino;S;1;68;15;3;6;5;0.833;0.436;0.97;11;1;0;0;0;mantener;glosario
supply chain transparency;termino;G;0;32;20;9;6;4;0.667;0.3;0.903;11;2;0;0;0;revisar;etiquetas de grafico | referencia cruzada a secciones
board oversight;termino;G;1;17;13;8;6;2;0.333;0.097;0.7;11;4;0;0;0;revisar;encabezado de seccion | encabezado de tabla TNFD
supply chain audit;termino;S;0;59;16;3;6;5;0.833;0.436;0.97;10;0;0;1;0;mantener;control interno del origen Made in France
supply chain human right;termino;S;0;13;11;7;6;3;0.5;0.188;0.812;6;3;0;0;0;revisar;encabezado de tabla | tabla de correspondencia SASB
supply chain footprint;termino;E;0;10;5;3;6;3;0.5;0.188;0.812;5;0;0;3;0;revisar;huella geografica industrial | huella geografica por geopolitica
scope\s+(?:one|two|three);patron;E;0;3;3;3;3;0;0.0;0.0;0.562;3;0;0;0;3;retirar;ciclo de control interno | perimetro de reporte one year | perimetro de reporte two years
fair condition;termino;S;0;9;7;6;6;5;0.833;0.436;0.97;1;0;0;1;0;mantener;condiciones para inversion en telecom
supply chain labour;termino;S;0;1;1;1;1;0;0.0;0.0;0.793;1;0;0;0;1;revisar;artefacto entre dos temas de lista
co2e?;patron;E;0;19825;326;49;20;20;1.0;0.839;1.0;0;0;0;0;0;mantener;
energy\s+(?:consumption|efficiency|transition|mix|intensity|storage);patron;E;0;14228;331;49;20;20;1.0;0.839;1.0;0;0;0;0;0;mantener;
gender;termino;S;0;9961;333;49;12;12;1.0;0.757;1.0;0;0;0;0;0;mantener;
inclusive;termino;S;0;5381;302;47;12;12;1.0;0.757;1.0;0;0;0;0;0;mantener;
low carbon;termino;E;0;4857;275;48;12;12;1.0;0.757;1.0;0;0;0;0;0;mantener;
data protection;termino;G;0;4517;317;49;12;12;1.0;0.757;1.0;0;0;0;0;0;mantener;
net zero;termino;E;0;4381;226;49;12;12;1.0;0.757;1.0;0;0;0;0;0;mantener;
energy efficiency;termino;E;0;4221;300;49;12;12;1.0;0.757;1.0;0;0;0;0;0;mantener;
decarbonization;termino;E;0;3614;172;42;12;12;1.0;0.757;1.0;0;0;0;0;0;mantener;
energy transition;termino;E;0;3205;189;42;12;12;1.0;0.757;1.0;0;0;0;0;0;mantener;
electrification;termino;E;0;2195;160;45;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
employee engagement;termino;S;0;1912;228;47;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
harassment;termino;S;0;1838;225;46;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
paris\s+agreement;patron;E;0;1642;235;46;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
information security;termino;G;0;1631;242;44;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
data privacy;termino;G;0;1619;186;41;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
wastewater;termino;E;0;1579;170;36;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
ilo;termino;S;0;1567;244;45;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
conflict of interest;termino;G;0;1498;265;47;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
social impact;termino;S;0;1439;245;48;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
double materiality;termino;TRANS;0;1437;101;47;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
compliance program;termino;G;0;1432;196;39;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
money laundering;termino;G;0;1430;207;37;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
iso\s*14001\b;patron;E;0;1262;240;41;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
biofuel;termino;E;0;1221;134;37;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
succession planning;termino;G;0;1105;231;41;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
landfill;termino;E;0;1036;176;39;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
regenerative agriculture;termino;E;0;1017;62;21;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
wellbeing;termino;S;0;971;187;48;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
gdpr;termino;G;0;930;222;42;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
compliance management system;termino;G;0;920;118;21;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
volunteer;termino;S;0;904;197;43;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
compliance function;termino;G;0;895;178;36;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
forced labor;termino;S;0;893;136;33;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
living wage;termino;S;0;888;105;32;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
green bond;termino;E;0;868;112;23;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
mental health;termino;S;0;856;188;43;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
speak up;termino;G;0;841;152;33;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
social risk;termino;S;0;831;154;38;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
compliance department;termino;G;0;766;153;37;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
training hour;termino;S;0;766;181;40;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
regulatory compliance;termino;G;0;761;189;41;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
philanthrop\w+;patron;S;0;746;145;32;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
equal pay;termino;S;0;700;188;45;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
oecd guidelines;termino;S;0;685;212;46;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
ecovadis;termino;TRANS;0;679;123;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
ergonomic;termino;S;0;608;170;37;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
social issue;termino;S;0;605;164;42;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
un global compact;termino;TRANS;0;596;204;43;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
responsible sourcing;termino;G;0;594;128;33;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
iso\s*45001\b;patron;S;0;593;159;32;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
anti-money laundering;termino;G;0;582;126;26;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
global reporting initiative;termino;TRANS;0;570;235;45;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
maternity;termino;S;0;565;154;35;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
natural capital;termino;E;0;562;78;31;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
drought;termino;E;0;514;190;44;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
modern slavery;termino;S;0;508;135;37;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
decarbonize;termino;E;0;502;80;27;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
refrigerant;termino;E;0;496;96;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
upskilling;termino;S;0;494;124;37;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
iso 45001;termino;S;0;476;142;31;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
sf6;termino;E;1;469;48;17;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
zdhc;termino;E;0;457;30;5;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
philanthropy;termino;S;0;454;93;23;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
flooding;termino;E;0;447;165;43;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
leed;termino;E;0;447;118;26;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
road safety;termino;S;0;415;81;24;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
green hydrogen;termino;E;0;399;71;27;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
ungp;termino;S;0;396;114;43;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
pay equity;termino;S;0;354;74;24;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
ecodesign;termino;E;1;349;44;19;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
social enterprise;termino;S;0;331;73;21;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
social inclusion;termino;S;0;327;106;33;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
iso\s*50001\b;patron;E;0;325;126;28;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
sustainalytics;termino;TRANS;0;314;145;38;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
sapin;termino;G;0;308;88;17;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
wetland;termino;E;0;293;84;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
just\s+transition;patron;S;0;283;66;27;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
local community;termino;S;0;272;134;36;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
labor right;termino;S;0;260;87;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
employee\s+well\w*;patron;S;0;247;97;34;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
tonne\w*\s+(?:co2|carbon);patron;E;0;245;46;15;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
female representation;termino;S;0;244;81;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
taxonomy alignment;termino;TRANS;0;244;68;28;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
heat wave;termino;E;0;223;83;29;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
volatile organic;termino;E;0;220;100;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
nature-based solution;termino;E;0;202;69;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
reskilling;termino;S;0;192;81;26;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
life cycle assessment;termino;E;0;190;82;29;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
soil health;termino;E;0;165;46;15;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
first aid;termino;S;0;157;99;30;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
agroforestry;termino;E;0;153;46;14;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
supply chain due diligence;termino;G;0;147;58;21;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
fair wage;termino;S;0;145;55;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
fair compensation;termino;S;0;131;69;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
decarbonise;termino;E;0;122;47;17;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
fair labor;termino;S;0;120;41;13;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
recycled raw material;termino;E;0;117;34;14;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
air pollutant;termino;E;0;116;53;17;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
hydropower;termino;E;0;110;45;20;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
chemical management;termino;E;0;84;28;10;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
particulate matter;termino;E;0;81;45;18;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
iso\s*37001\b;patron;G;1;77;36;8;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
cop28;termino;G;1;75;25;18;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
iso 37001;termino;G;1;68;34;8;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
leather working group;termino;S;1;65;31;8;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
employee wellbeing;termino;S;0;64;29;17;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
fairtrade;termino;S;1;60;27;6;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
supply chain emission;termino;E;0;57;29;17;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
compost;termino;E;0;42;30;11;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
raw material sourcing;termino;E;0;39;29;11;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
peatland;termino;E;1;33;28;7;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
cover crop;termino;E;1;32;19;7;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
virgin polyester;termino;E;1;17;8;2;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
cop 28;termino;G;1;10;8;8;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
supply chain ethics;termino;G;0;3;3;2;3;3;1.0;0.438;1.0;0;0;0;0;0;mantener;
living income;termino;S;1;2;2;1;2;2;1.0;0.342;1.0;0;0;0;0;0;mantener;
supply chain decarbonisation;termino;E;0;1;1;1;1;1;1.0;0.207;1.0;0;0;0;0;0;mantener;
raw material efficiency;termino;E;0;0;;;;;;;;;;;;;retirar (no dispara);
